faixa_etaria,genero,etnia,idade,pcd,xp_profissional_prejudicada,uf_residencia,nivel_ensino,area_formacao,situacao_trabalho,cargo_atual,faixa_salarial,tempo_experiencia_dados,satisfacao_remuneracao,importancia_salario_escolha_emprego,satisfacao_beneficios,importancia_beneficios_escolha_emprego
17-21,Masculino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,CE,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Branca,21,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,0.0,0.0,0.0,0.0
17-21,Feminino,Branca,21,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,0.0
17-21,Masculino,Parda,21,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,CE,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês,de 3 a 4 anos,0.0,0.0,0.0,0.0
17-21,Feminino,Preta,21,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",GO,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Analista de Negócios/Business Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,,1.0,,0.0
17-21,Feminino,Branca,21,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RJ,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),Analista de Negócios/Business Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Parda,21,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,1.0,1.0,0.0,1.0
17-21,Masculino,Parda,21,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",SP,Graduação/Bacharelado,Outra opção,Estagiário,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,,1.0,,0.0
17-21,Masculino,Branca,21,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de Dados/Data Analyst,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,1.0,1.0,0.0,0.0
17-21,Masculino,Branca,21,Não,,MG,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Preta,21,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RJ,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analytics Engineer,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,,1.0,,0.0
17-21,Masculino,Branca,21,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de Negócios/Business Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,,1.0,,0.0
17-21,Feminino,Branca,21,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,0.0,,1.0
17-21,Masculino,Parda,21,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RS,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,1.0
17-21,Masculino,Parda,21,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,0.0,0.0,0.0,0.0
